Policy_ID,Customer_ID,Policy_Number,Policy_Type,Policy_Start_Date,Policy_End_Date,Premium_Amount,Coverage_Amount,Deductible,Policy_Status,Payment_Mode,Premium_Status,Agent_ID
P0045,C0698,PN000045,Health,2024-01-01,2025-01-01,10515,702311,2451,Active,Annual,Paid,A074
P0046,C0782,PN000046,Vehicle,2024-01-01,2025-01-01,19657,478405,1898,Active,Annual,Paid,A014
P0047,C0226,PN000047,Property,2024-01-01,2025-01-01,32238,918485,9970,Active,Annual,Paid,A048
P0048,C0260,PN000048,Property,2024-01-01,2025-01-01,47858,948688,1223,Active,Annual,Paid,A057
P0049,C0744,PN000049,Life,2024-01-01,2025-01-01,35100,842116,7331,Active,Annual,Paid,A069
P0050,C0074,PN000050,Health,2024-01-01,2025-01-01,27931,568657,5636,Active,Annual,Paid,A046
P0051,C0119,PN000051,Life,2024-01-01,2025-01-01,49360,604589,8091,Active,Annual,Paid,A055
P0052,C0471,PN000052,Vehicle,2024-01-01,2025-01-01,29546,725570,4102,Active,Annual,Paid,A019
P0053,C0410,PN000053,Life,2024-01-01,2025-01-01,7053,277112,9610,Active,Annual,Paid,A018
P0054,C0109,PN000054,Vehicle,2024-01-01,2025-01-01,5945,755778,8947,Active,Annual,Paid,A010
P0055,C0321,PN000055,Property,2024-01-01,2025-01-01,16322,729200,6416,Active,Annual,Paid,A061
P0056,C0744,PN000056,Health,2024-01-01,2025-01-01,24279,982174,2390,Active,Annual,Paid,A032
P0057,C0026,PN000057,Health,2024-01-01,2025-01-01,49103,880015,8322,Active,Annual,Paid,A005
P0058,C0226,PN000058,Life,2024-01-01,2025-01-01,25620,734431,6279,Active,Annual,Paid,A080
P0059,C0099,PN000059,Life,2024-01-01,2025-01-01,22393,766670,2269,Active,Annual,Paid,A017
P0060,C0628,PN000060,Life,2024-01-01,2025-01-01,35807,775330,6274,Active,Annual,Paid,A052
P0061,C0180,PN000061,Life,2024-01-01,2025-01-01,7721,395460,7928,Active,Annual,Paid,A073
P0062,C0018,PN000062,Vehicle,2024-01-01,2025-01-01,14049,916568,2580,Active,Annual,Paid,A070
P0063,C0744,PN000063,Property,2024-01-01,2025-01-01,22279,450663,2627,Active,Annual,Paid,A069
P0064,C0107,PN000064,Property,2024-01-01,2025-01-01,46837,565477,8097,Active,Annual,Paid,A046
P0065,C0395,PN000065,Life,2024-01-01,2025-01-01,5497,220320,4105,Active,Annual,Paid,A005
P0066,C0398,PN000066,Life,2024-01-01,2025-01-01,36339,555090,6888,Active,Annual,Paid,A031
P0067,C0405,PN000067,Property,2024-01-01,2025-01-01,33585,189405,5861,Active,Annual,Paid,A057
P0068,C0493,PN000068,Property,2024-01-01,2025-01-01,9343,262658,2530,Active,Annual,Paid,A038
P0069,C0105,PN000069,Property,2024-01-01,2025-01-01,16663,911655,7092,Active,Annual,Paid,A087
P0070,C0795,PN000070,Health,2024-01-01,2025-01-01,33045,647593,1286,Active,Annual,Paid,A024
P0071,C0233,PN000071,Property,2024-01-01,2025-01-01,42202,290981,9525,Active,Annual,Paid,A099
P0072,C0094,PN000072,Health,2024-01-01,2025-01-01,19104,485876,6382,Active,Annual,Paid,A059
P0073,C0114,PN000073,Vehicle,2024-01-01,2025-01-01,46466,110262,8933,Active,Annual,Paid,A019
P0074,C0170,PN000074,Life,2024-01-01,2025-01-01,18289,697333,5286,Active,Annual,Paid,A063
P0075,C0626,PN000075,Life,2024-01-01,2025-01-01,34719,148823,5920,Active,Annual,Paid,A073
P0076,C0336,PN000076,Property,2024-01-01,2025-01-01,34166,607616,1794,Active,Annual,Paid,A010
P0077,C0374,PN000077,Property,2024-01-01,2025-01-01,28685,119142,6635,Active,Annual,Paid,A060
P0078,C0202,PN000078,Vehicle,2024-01-01,2025-01-01,9731,180725,6116,Active,Annual,Paid,A089
P0079,C0417,PN000079,Life,2024-01-01,2025-01-01,22323,818318,9457,Active,Annual,Paid,A053
P0080,C0683,PN000080,Health,2024-01-01,2025-01-01,30331,336220,2364,Active,Annual,Paid,A035
P0081,C0486,PN000081,Vehicle,2024-01-01,2025-01-01,41752,640447,9867,Active,Annual,Paid,A018
P0082,C0362,PN000082,Life,2024-01-01,2025-01-01,11026,891856,3655,Active,Annual,Paid,A031
P0083,C0452,PN000083,Property,2024-01-01,2025-01-01,19145,515441,1772,Active,Annual,Paid,A048
P0084,C0297,PN000084,Health,2024-01-01,2025-01-01,26842,787699,4016,Active,Annual,Paid,A034
P0085,C0770,PN000085,Property,2024-01-01,2025-01-01,23990,313040,5892,Active,Annual,Paid,A037
P0086,C0718,PN000086,Life,2024-01-01,2025-01-01,37193,397817,5212,Active,Annual,Paid,A098
P0087,C0749,PN000087,Vehicle,2024-01-01,2025-01-01,18893,314883,5906,Active,Annual,Paid,A057
P0088,C0392,PN000088,Health,2024-01-01,2025-01-01,41527,771391,2829,Active,Annual,Paid,A005
P0089,C0384,PN000089,Life,2024-01-01,2025-01-01,19739,803553,2091,Active,Annual,Paid,A050
P0090,C0754,PN000090,Vehicle,2024-01-01,2025-01-01,46492,650898,7122,Active,Annual,Paid,A005
P0091,C0424,PN000091,Life,2024-01-01,2025-01-01,26695,969724,9935,Active,Annual,Paid,A090
P0092,C0305,PN000092,Life,2024-01-01,2025-01-01,21816,575926,7161,Active,Annual,Paid,A008
P0093,C0610,PN000093,Property,2024-01-01,2025-01-01,7284,685332,5549,Active,Annual,Paid,A073
P0094,C0040,PN000094,Vehicle,2024-01-01,2025-01-01,21719,161989,7231,Active,Annual,Paid,A068
P0095,C0697,PN000095,Life,2024-01-01,2025-01-01,34748,391931,7246,Active,Annual,Paid,A028
P0096,C0306,PN000096,Vehicle,2024-01-01,2025-01-01,15766,643529,8267,Active,Annual,Paid,A013
P0097,C0267,PN000097,Property,2024-01-01,2025-01-01,41649,133474,6490,Active,Annual,Paid,A003
P0098,C0167,PN000098,Health,2024-01-01,2025-01-01,17323,945508,7829,Active,Annual,Paid,A041
P0099,C0486,PN000099,Property,2024-01-01,2025-01-01,41714,790648,2346,Active,Annual,Paid,A030
P0100,C0793,PN000100,Property,2024-01-01,2025-01-01,16094,850917,9881,Active,Annual,Paid,A045
P0101,C0691,PN000101,Health,2024-01-01,2025-01-01,26640,172287,4471,Active,Annual,Paid,A045
P0102,C0052,PN000102,Vehicle,2024-01-01,2025-01-01,12737,314288,6383,Active,Annual,Paid,A016
P0103,C0636,PN000103,Property,2024-01-01,2025-01-01,29776,426036,1180,Active,Annual,Paid,A018
P0104,C0800,PN000104,Property,2024-01-01,2025-01-01,14587,490485,8806,Active,Annual,Paid,A099
P0105,C0561,PN000105,Property,2024-01-01,2025-01-01,48919,878125,8265,Active,Annual,Paid,A060
P0106,C0413,PN000106,Health,2024-01-01,2025-01-01,7502,685658,9994,Active,Annual,Paid,A093
P0107,C0363,PN000107,Vehicle,2024-01-01,2025-01-01,26426,610167,7763,Active,Annual,Paid,A083
P0108,C0003,PN000108,Health,2024-01-01,2025-01-01,8980,467791,5092,Active,Annual,Paid,A045
P0109,C0210,PN000109,Health,2024-01-01,2025-01-01,47070,500756,5780,Active,Annual,Paid,A088
P0110,C0754,PN000110,Property,2024-01-01,2025-01-01,47710,816662,1693,Active,Annual,Paid,A068
P0111,C0139,PN000111,Vehicle,2024-01-01,2025-01-01,19783,722152,7330,Active,Annual,Paid,A006
P0112,C0760,PN000112,Life,2024-01-01,2025-01-01,27734,571374,7017,Active,Annual,Paid,A080
P0113,C0039,PN000113,Health,2024-01-01,2025-01-01,10473,880897,2121,Active,Annual,Paid,A006
P0114,C0155,PN000114,Health,2024-01-01,2025-01-01,11454,110799,7689,Active,Annual,Paid,A007
P0115,C0790,PN000115,Vehicle,2024-01-01,2025-01-01,40960,650851,4845,Active,Annual,Paid,A041
P0116,C0203,PN000116,Property,2024-01-01,2025-01-01,45655,560384,7541,Active,Annual,Paid,A060
P0117,C0014,PN000117,Life,2024-01-01,2025-01-01,18408,403010,5012,Active,Annual,Paid,A007
P0118,C0280,PN000118,Life,2024-01-01,2025-01-01,43321,991399,6694,Active,Annual,Paid,A041
P0119,C0075,PN000119,Vehicle,2024-01-01,2025-01-01,32148,266877,8046,Active,Annual,Paid,A034
P0120,C0150,PN000120,Vehicle,2024-01-01,2025-01-01,30533,111308,6312,Active,Annual,Paid,A073
P0121,C0389,PN000121,Property,2024-01-01,2025-01-01,47468,707816,2942,Active,Annual,Paid,A009
P0122,C0525,PN000122,Vehicle,2024-01-01,2025-01-01,36449,168625,3850,Active,Annual,Paid,A064
P0123,C0319,PN000123,Life,2024-01-01,2025-01-01,42342,428256,6643,Active,Annual,Paid,A073
P0124,C0735,PN000124,Vehicle,2024-01-01,2025-01-01,41503,902281,7296,Active,Annual,Paid,A088
P0125,C0115,PN000125,Vehicle,2024-01-01,2025-01-01,21824,520893,9938,Active,Annual,Paid,A037
P0126,C0581,PN000126,Life,2024-01-01,2025-01-01,41391,301350,4378,Active,Annual,Paid,A060
P0127,C0754,PN000127,Vehicle,2024-01-01,2025-01-01,20454,424351,2218,Active,Annual,Paid,A023
P0128,C0067,PN000128,Life,2024-01-01,2025-01-01,20119,320252,6984,Active,Annual,Paid,A096
P0129,C0203,PN000129,Vehicle,2024-01-01,2025-01-01,30597,578734,2034,Active,Annual,Paid,A020
P0130,C0539,PN000130,Vehicle,2024-01-01,2025-01-01,18820,304703,8778,Active,Annual,Paid,A076
P0131,C0471,PN000131,Life,2024-01-01,2025-01-01,8586,141857,4400,Active,Annual,Paid,A019
P0132,C0519,PN000132,Vehicle,2024-01-01,2025-01-01,18663,946643,3154,Active,Annual,Paid,A091
P0133,C0622,PN000133,Property,2024-01-01,2025-01-01,7930,712619,6165,Active,Annual,Paid,A099
P0134,C0467,PN000134,Vehicle,2024-01-01,2025-01-01,10754,507767,5480,Active,Annual,Paid,A030
P0135,C0093,PN000135,Life,2024-01-01,2025-01-01,39041,837929,3642,Active,Annual,Paid,A003
P0136,C0336,PN000136,Property,2024-01-01,2025-01-01,35788,371680,2726,Active,Annual,Paid,A040
P0137,C0473,PN000137,Life,2024-01-01,2025-01-01,39643,326909,7814,Active,Annual,Paid,A039
P0138,C0096,PN000138,Life,2024-01-01,2025-01-01,19848,891213,7715,Active,Annual,Paid,A093
P0139,C0780,PN000139,Health,2024-01-01,2025-01-01,19148,991046,4381,Active,Annual,Paid,A036
P0140,C0284,PN000140,Life,2024-01-01,2025-01-01,5582,103375,8815,Active,Annual,Paid,A055
P0141,C0327,PN000141,Life,2024-01-01,2025-01-01,20475,679641,2218,Active,Annual,Paid,A016
P0142,C0099,PN000142,Health,2024-01-01,2025-01-01,32015,955000,6043,Active,Annual,Paid,A014
P0143,C0053,PN000143,Health,2024-01-01,2025-01-01,28215,291925,6469,Active,Annual,Paid,A073
P0144,C0457,PN000144,Health,2024-01-01,2025-01-01,47184,578582,1594,Active,Annual,Paid,A042
P0145,C0717,PN000145,Health,2024-01-01,2025-01-01,31439,213709,7915,Active,Annual,Paid,A067
P0146,C0669,PN000146,Health,2024-01-01,2025-01-01,48388,942399,6715,Active,Annual,Paid,A088
P0147,C0393,PN000147,Health,2024-01-01,2025-01-01,14483,414810,7276,Active,Annual,Paid,A056
P0148,C0230,PN000148,Property,2024-01-01,2025-01-01,45419,773807,7231,Active,Annual,Paid,A049
P0149,C0756,PN000149,Property,2024-01-01,2025-01-01,32090,992350,3714,Active,Annual,Paid,A070
P0150,C0127,PN000150,Health,2024-01-01,2025-01-01,19340,227847,2007,Active,Annual,Paid,A081
P0151,C0490,PN000151,Vehicle,2024-01-01,2025-01-01,19875,716630,8961,Active,Annual,Paid,A048
P0152,C0608,PN000152,Health,2024-01-01,2025-01-01,32281,921749,8665,Active,Annual,Paid,A089
P0153,C0381,PN000153,Life,2024-01-01,2025-01-01,16404,320375,9156,Active,Annual,Paid,A075
P0154,C0228,PN000154,Life,2024-01-01,2025-01-01,18825,230702,3928,Active,Annual,Paid,A060
P0155,C0763,PN000155,Health,2024-01-01,2025-01-01,11207,852718,8153,Active,Annual,Paid,A023
P0156,C0528,PN000156,Vehicle,2024-01-01,2025-01-01,45251,948688,7621,Active,Annual,Paid,A014
P0157,C0227,PN000157,Health,2024-01-01,2025-01-01,33566,490274,8194,Active,Annual,Paid,A052
P0158,C0458,PN000158,Property,2024-01-01,2025-01-01,44696,209316,8235,Active,Annual,Paid,A088
P0159,C0012,PN000159,Property,2024-01-01,2025-01-01,7405,921912,1971,Active,Annual,Paid,A092
P0160,C0413,PN000160,Health,2024-01-01,2025-01-01,47555,574454,7930,Active,Annual,Paid,A087
P0161,C0349,PN000161,Property,2024-01-01,2025-01-01,37734,375755,8028,Active,Annual,Paid,A008
P0162,C0673,PN000162,Property,2024-01-01,2025-01-01,16048,699528,2499,Active,Annual,Paid,A094
P0163,C0131,PN000163,Health,2024-01-01,2025-01-01,31052,351232,1803,Active,Annual,Paid,A042
P0164,C0255,PN000164,Life,2024-01-01,2025-01-01,48287,322645,7073,Active,Annual,Paid,A044
P0165,C0453,PN000165,Vehicle,2024-01-01,2025-01-01,38082,318453,3021,Active,Annual,Paid,A094
P0166,C0114,PN000166,Property,2024-01-01,2025-01-01,46069,994376,7877,Active,Annual,Paid,A035
P0167,C0647,PN000167,Life,2024-01-01,2025-01-01,21261,232086,5585,Active,Annual,Paid,A086
P0168,C0275,PN000168,Health,2024-01-01,2025-01-01,12697,817155,1749,Active,Annual,Paid,A031
P0169,C0795,PN000169,Life,2024-01-01,2025-01-01,39098,241533,2567,Active,Annual,Paid,A086
P0170,C0637,PN000170,Property,2024-01-01,2025-01-01,44025,437867,5231,Active,Annual,Paid,A086
P0171,C0065,PN000171,Vehicle,2024-01-01,2025-01-01,24465,790633,7699,Active,Annual,Paid,A077
P0172,C0309,PN000172,Vehicle,2024-01-01,2025-01-01,47748,405140,5094,Active,Annual,Paid,A022
P0173,C0177,PN000173,Vehicle,2024-01-01,2025-01-01,35704,801048,8823,Active,Annual,Paid,A019
P0174,C0380,PN000174,Health,2024-01-01,2025-01-01,42781,456914,7466,Active,Annual,Paid,A085
P0175,C0049,PN000175,Vehicle,2024-01-01,2025-01-01,25572,901520,8800,Active,Annual,Paid,A048
P0176,C0025,PN000176,Life,2024-01-01,2025-01-01,39037,179978,2057,Active,Annual,Paid,A064
P0177,C0772,PN000177,Health,2024-01-01,2025-01-01,33846,194990,7093,Active,Annual,Paid,A019
P0178,C0714,PN000178,Vehicle,2024-01-01,2025-01-01,15231,366285,9457,Active,Annual,Paid,A034
P0179,C0750,PN000179,Life,2024-01-01,2025-01-01,31078,614086,3943,Active,Annual,Paid,A083
P0180,C0511,PN000180,Property,2024-01-01,2025-01-01,18019,390636,7558,Active,Annual,Paid,A043
P0181,C0452,PN000181,Health,2024-01-01,2025-01-01,5419,324469,6902,Active,Annual,Paid,A072
P0182,C0624,PN000182,Health,2024-01-01,2025-01-01,16992,732415,9003,Active,Annual,Paid,A011
P0183,C0619,PN000183,Property,2024-01-01,2025-01-01,47183,340637,7942,Active,Annual,Paid,A064
P0184,C0507,PN000184,Property,2024-01-01,2025-01-01,20604,123193,9471,Active,Annual,Paid,A047
P0185,C0773,PN000185,Vehicle,2024-01-01,2025-01-01,35507,295580,4744,Active,Annual,Paid,A023
P0186,C0128,PN000186,Property,2024-01-01,2025-01-01,47014,642234,1658,Active,Annual,Paid,A007
P0187,C0720,PN000187,Life,2024-01-01,2025-01-01,13672,711437,4268,Active,Annual,Paid,A028
P0188,C0693,PN000188,Vehicle,2024-01-01,2025-01-01,42199,508837,2225,Active,Annual,Paid,A095
P0189,C0772,PN000189,Property,2024-01-01,2025-01-01,49677,372532,8934,Active,Annual,Paid,A019
P0190,C0383,PN000190,Vehicle,2024-01-01,2025-01-01,7622,289719,6772,Active,Annual,Paid,A070
P0191,C0270,PN000191,Vehicle,2024-01-01,2025-01-01,38455,941225,6268,Active,Annual,Paid,A071
P0192,C0072,PN000192,Property,2024-01-01,2025-01-01,14502,355778,4847,Active,Annual,Paid,A067
P0193,C0221,PN000193,Life,2024-01-01,2025-01-01,20054,728988,6402,Active,Annual,Paid,A095
P0194,C0128,PN000194,Life,2024-01-01,2025-01-01,44424,239483,9519,Active,Annual,Paid,A091
P0195,C0278,PN000195,Property,2024-01-01,2025-01-01,27874,906381,5433,Active,Annual,Paid,A019
P0196,C0411,PN000196,Property,2024-01-01,2025-01-01,38370,374835,8123,Active,Annual,Paid,A006
P0197,C0638,PN000197,Health,2024-01-01,2025-01-01,48860,895638,6915,Active,Annual,Paid,A042
P0198,C0308,PN000198,Health,2024-01-01,2025-01-01,47113,149890,9458,Active,Annual,Paid,A029
P0199,C0685,PN000199,Life,2024-01-01,2025-01-01,18642,208958,6918,Active,Annual,Paid,A026
P0200,C0499,PN000200,Health,2024-01-01,2025-01-01,41707,117184,4317,Active,Annual,Paid,A074
P0201,C0195,PN000201,Property,2024-01-01,2025-01-01,13154,322808,4881,Active,Annual,Paid,A045
P0202,C0626,PN000202,Health,2024-01-01,2025-01-01,35152,360921,4810,Active,Annual,Paid,A024
P0203,C0605,PN000203,Life,2024-01-01,2025-01-01,6902,492667,1668,Active,Annual,Paid,A001
P0204,C0177,PN000204,Property,2024-01-01,2025-01-01,17478,663159,5784,Active,Annual,Paid,A011
P0205,C0037,PN000205,Property,2024-01-01,2025-01-01,6375,724701,4740,Active,Annual,Paid,A033
P0206,C0785,PN000206,Vehicle,2024-01-01,2025-01-01,32118,461196,4051,Active,Annual,Paid,A022
P0207,C0797,PN000207,Property,2024-01-01,2025-01-01,34421,447089,2378,Active,Annual,Paid,A081
P0208,C0780,PN000208,Property,2024-01-01,2025-01-01,8404,466798,2538,Active,Annual,Paid,A014
P0209,C0222,PN000209,Property,2024-01-01,2025-01-01,33335,791546,4103,Active,Annual,Paid,A058
P0210,C0701,PN000210,Property,2024-01-01,2025-01-01,14459,342398,6843,Active,Annual,Paid,A008
P0211,C0670,PN000211,Life,2024-01-01,2025-01-01,26594,421236,4493,Active,Annual,Paid,A008
P0212,C0034,PN000212,Property,2024-01-01,2025-01-01,17554,412964,1119,Active,Annual,Paid,A044
P0213,C0496,PN000213,Property,2024-01-01,2025-01-01,8636,487892,5636,Active,Annual,Paid,A007
P0214,C0433,PN000214,Property,2024-01-01,2025-01-01,39532,818027,5519,Active,Annual,Paid,A037
P0215,C0047,PN000215,Vehicle,2024-01-01,2025-01-01,46109,138414,4396,Active,Annual,Paid,A050
P0216,C0109,PN000216,Health,2024-01-01,2025-01-01,25590,884919,4578,Active,Annual,Paid,A013
P0217,C0319,PN000217,Property,2024-01-01,2025-01-01,41960,597153,2003,Active,Annual,Paid,A094
P0218,C0685,PN000218,Life,2024-01-01,2025-01-01,47904,219885,2147,Active,Annual,Paid,A100
P0219,C0630,PN000219,Health,2024-01-01,2025-01-01,29115,685043,6760,Active,Annual,Paid,A076
P0220,C0698,PN000220,Health,2024-01-01,2025-01-01,13225,552619,3911,Active,Annual,Paid,A098
P0221,C0748,PN000221,Life,2024-01-01,2025-01-01,31937,260652,1013,Active,Annual,Paid,A015
P0222,C0202,PN000222,Property,2024-01-01,2025-01-01,32933,420731,6379,Active,Annual,Paid,A073
P0223,C0447,PN000223,Life,2024-01-01,2025-01-01,45722,230444,3334,Active,Annual,Paid,A021
P0224,C0049,PN000224,Property,2024-01-01,2025-01-01,9190,829299,9473,Active,Annual,Paid,A006
P0225,C0574,PN000225,Life,2024-01-01,2025-01-01,45657,826807,3933,Active,Annual,Paid,A034
P0226,C0489,PN000226,Vehicle,2024-01-01,2025-01-01,5040,837328,6046,Active,Annual,Paid,A031
P0227,C0553,PN000227,Health,2024-01-01,2025-01-01,8950,697532,3958,Active,Annual,Paid,A033
P0228,C0541,PN000228,Life,2024-01-01,2025-01-01,47980,664182,2029,Active,Annual,Paid,A003
P0229,C0615,PN000229,Health,2024-01-01,2025-01-01,28433,646072,3417,Active,Annual,Paid,A080
P0230,C0524,PN000230,Vehicle,2024-01-01,2025-01-01,32958,498827,8653,Active,Annual,Paid,A004
P0231,C0010,PN000231,Health,2024-01-01,2025-01-01,10964,111771,4024,Active,Annual,Paid,A053
P0232,C0336,PN000232,Property,2024-01-01,2025-01-01,24250,272166,5050,Active,Annual,Paid,A066
P0233,C0002,PN000233,Health,2024-01-01,2025-01-01,46511,985732,4152,Active,Annual,Paid,A058
P0234,C0789,PN000234,Vehicle,2024-01-01,2025-01-01,43890,140142,2376,Active,Annual,Paid,A029
P0235,C0615,PN000235,Vehicle,2024-01-01,2025-01-01,9170,419958,2634,Active,Annual,Paid,A037
P0236,C0326,PN000236,Health,2024-01-01,2025-01-01,7197,736731,1237,Active,Annual,Paid,A063
P0237,C0571,PN000237,Health,2024-01-01,2025-01-01,16585,772667,3526,Active,Annual,Paid,A056
P0238,C0557,PN000238,Health,2024-01-01,2025-01-01,23664,497068,3352,Active,Annual,Paid,A071
P0239,C0173,PN000239,Property,2024-01-01,2025-01-01,15340,238153,5674,Active,Annual,Paid,A040
P0240,C0331,PN000240,Property,2024-01-01,2025-01-01,45584,754236,8931,Active,Annual,Paid,A068
P0241,C0282,PN000241,Life,2024-01-01,2025-01-01,47231,586823,6057,Active,Annual,Paid,A068
P0242,C0022,PN000242,Life,2024-01-01,2025-01-01,22819,975199,3585,Active,Annual,Paid,A001
P0243,C0410,PN000243,Property,2024-01-01,2025-01-01,36140,608428,9424,Active,Annual,Paid,A053
P0244,C0052,PN000244,Vehicle,2024-01-01,2025-01-01,20728,559199,4879,Active,Annual,Paid,A069
P0245,C0062,PN000245,Property,2024-01-01,2025-01-01,43372,958496,7841,Active,Annual,Paid,A016
P0246,C0445,PN000246,Life,2024-01-01,2025-01-01,22563,801386,1899,Active,Annual,Paid,A071
P0247,C0362,PN000247,Property,2024-01-01,2025-01-01,26844,497818,7504,Active,Annual,Paid,A069
P0248,C0013,PN000248,Property,2024-01-01,2025-01-01,8169,245320,6590,Active,Annual,Paid,A074
P0249,C0320,PN000249,Property,2024-01-01,2025-01-01,10130,533861,9556,Active,Annual,Paid,A004
P0250,C0394,PN000250,Health,2024-01-01,2025-01-01,17656,450090,2234,Active,Annual,Paid,A086
P0251,C0084,PN000251,Health,2024-01-01,2025-01-01,24282,437290,2059,Active,Annual,Paid,A007
P0252,C0700,PN000252,Life,2024-01-01,2025-01-01,10171,226109,1154,Active,Annual,Paid,A092
P0253,C0192,PN000253,Health,2024-01-01,2025-01-01,39156,648861,1971,Active,Annual,Paid,A035
P0254,C0576,PN000254,Vehicle,2024-01-01,2025-01-01,41981,314193,1375,Active,Annual,Paid,A043
P0255,C0258,PN000255,Property,2024-01-01,2025-01-01,32221,853797,7646,Active,Annual,Paid,A077
P0256,C0427,PN000256,Vehicle,2024-01-01,2025-01-01,37524,287090,2430,Active,Annual,Paid,A027
