Claim_ID,Policy_ID,Claim_Date,Incident_Date,Claim_Type,Claim_Channel,Claim_Amount,Estimated_Loss,Claim_Status,Claim_Priority,Documents_Submitted,Surveyor_Assigned,Fraud_Flag,Fraud_Score,Settlement_Amount,Settlement_Days,Approval_Date,Rejection_Reason,Hospital_Garage_Name,Incident_City,Incident_State
CL00113,P0751,2025-01-01,2024-12-20,Medical,Online,117213,105491,Rejected,Low,Yes,Yes,Yes,63,,10,2025-01-10,,Apollo,Hyderabad,TS
CL00114,P0035,2025-01-01,2024-12-20,Theft,Online,256212,230590,Pending,High,Yes,Yes,Yes,58,,42,2025-01-10,,Apollo,Hyderabad,TS
CL00115,P0387,2025-01-01,2024-12-20,Accident,Online,135967,122370,Pending,Medium,Yes,Yes,Yes,86,,57,2025-01-10,,City Garage,Hyderabad,TS
CL00116,P0626,2025-01-01,2024-12-20,Theft,Online,352772,317494,Rejected,High,Yes,Yes,No,56,,43,2025-01-10,,Apollo,Hyderabad,TS
CL00117,P0723,2025-01-01,2024-12-20,Accident,Online,458087,412278,Rejected,High,Yes,Yes,No,77,,28,2025-01-10,,City Garage,Hyderabad,TS
CL00118,P0537,2025-01-01,2024-12-20,Fire,Online,199957,179961, approved ,Low,Yes,Yes,No,70,,3,2025-01-10,,Apollo,Hyderabad,TS
CL00119,P0699,2025-01-01,2024-12-20,Theft,Online,241804,217623, approved ,Medium,Yes,Yes,Yes,9,,4,2025-01-10,,City Garage,Hyderabad,TS
CL00120,P0634,2025-01-01,2024-12-20,Theft,Online,191738,172564,Rejected,Low,Yes,Yes,Yes,49,,20,2025-01-10,,City Garage,Hyderabad,TS
CL00121,P0160,2025-01-01,2024-12-20,Medical,Online,191925,172732,Pending,Medium,Yes,Yes,Yes,90,,57,2025-01-10,,City Garage,Hyderabad,TS
CL00122,P0114,2025-01-01,2024-12-20,Accident,Online,191599,172439,Pending,Medium,Yes,Yes,No,73,,8,2025-01-10,,City Garage,Hyderabad,TS
CL00123,P0912,2025-01-01,2024-12-20,Theft,Online,434198,390778, approved ,Medium,Yes,Yes,Yes,6,,28,2025-01-10,,City Garage,Hyderabad,TS
CL00124,P0268,2025-01-01,2024-12-20,Accident,Online,277507,249756, approved ,High,Yes,Yes,Yes,94,,24,2025-01-10,,Apollo,Hyderabad,TS
CL00125,P0302,2025-01-01,2024-12-20,Theft,Online,127794,115014,Pending,High,Yes,Yes,Yes,41,,22,2025-01-10,,Apollo,Hyderabad,TS
CL00126,P0061,2025-01-01,2024-12-20,Fire,Online,349423,314480,Pending,Low,Yes,Yes,No,23,,50,2025-01-10,,City Garage,Hyderabad,TS
CL00127,P0567,2025-01-01,2024-12-20,Medical,Online,390014,351012,Pending,High,Yes,Yes,No,46,,57,2025-01-10,,Apollo,Hyderabad,TS
CL00128,P0649,2025-01-01,2024-12-20,Theft,Online,475899,428309,Pending,Medium,Yes,Yes,No,87,,58,2025-01-10,,Apollo,Hyderabad,TS
CL00129,P0234,2025-01-01,2024-12-20,Medical,Online,230091,207081,Pending,High,Yes,Yes,Yes,24,,1,2025-01-10,,Apollo,Hyderabad,TS
CL00130,P0036,2025-01-01,2024-12-20,Theft,Online,38477,34629, approved ,High,Yes,Yes,No,62,,22,2025-01-10,,Apollo,Hyderabad,TS
CL00131,P0814,2025-01-01,2024-12-20,Fire,Online,440756,396680,Approved,High,Yes,Yes,Yes,17,440756,32,2025-01-10,,Apollo,Hyderabad,TS
CL00132,P0212,2025-01-01,2024-12-20,Medical,Online,330482,297433,Rejected,Medium,Yes,Yes,No,30,,56,2025-01-10,,Apollo,Hyderabad,TS
CL00133,P0959,2025-01-01,2024-12-20,Fire,Online,277477,249729, approved ,Low,Yes,Yes,Yes,52,,20,2025-01-10,,Apollo,Hyderabad,TS
CL00134,P0217,2025-01-01,2024-12-20,Theft,Online,406903,366212,Rejected,Low,Yes,Yes,Yes,73,,11,2025-01-10,,Apollo,Hyderabad,TS
CL00135,P0906,2025-01-01,2024-12-20,Theft,Online,270374,243336, approved ,Low,Yes,Yes,No,50,,3,2025-01-10,,City Garage,Hyderabad,TS
CL00136,P0723,2025-01-01,2024-12-20,Theft,Online,59101,53190,Rejected,Low,Yes,Yes,No,95,,55,2025-01-10,,City Garage,Hyderabad,TS
CL00137,P0510,2025-01-01,2024-12-20,Theft,Online,332056,298850,Approved,Low,Yes,Yes,No,3,332056,15,2025-01-10,,Apollo,Hyderabad,TS
CL00138,P0355,2025-01-01,2024-12-20,Medical,Online,154732,139258, approved ,High,Yes,Yes,Yes,23,,46,2025-01-10,,City Garage,Hyderabad,TS
CL00139,P0540,2025-01-01,2024-12-20,Theft,Online,335824,302241,Rejected,Low,Yes,Yes,Yes,77,,27,2025-01-10,,Apollo,Hyderabad,TS
CL00140,P0541,2025-01-01,2024-12-20,Medical,Online,235949,212354,Approved,Medium,Yes,Yes,Yes,4,235949,31,2025-01-10,,Apollo,Hyderabad,TS
CL00141,P0130,2025-01-01,2024-12-20,Medical,Online,282244,254019,Pending,High,Yes,Yes,No,58,,39,2025-01-10,,City Garage,Hyderabad,TS
CL00142,P0535,2025-01-01,2024-12-20,Fire,Online,238912,215020,Rejected,High,Yes,Yes,No,25,,28,2025-01-10,,Apollo,Hyderabad,TS
CL00143,P0982,2025-01-01,2024-12-20,Medical,Online,209865,188878,Pending,High,Yes,Yes,Yes,51,,14,2025-01-10,,City Garage,Hyderabad,TS
CL00144,P0300,2025-01-01,2024-12-20,Theft,Online,494855,445369,Rejected,High,Yes,Yes,No,38,,12,2025-01-10,,Apollo,Hyderabad,TS
CL00145,P0423,2025-01-01,2024-12-20,Theft,Online,164358,147922,Pending,Low,Yes,Yes,No,79,,47,2025-01-10,,City Garage,Hyderabad,TS
CL00146,P0462,2025-01-01,2024-12-20,Medical,Online,163609,147248,Approved,High,Yes,Yes,No,52,163609,49,2025-01-10,,Apollo,Hyderabad,TS
CL00147,P0867,2025-01-01,2024-12-20,Theft,Online,37854,34068,Approved,Medium,Yes,Yes,No,54,37854,32,2025-01-10,,Apollo,Hyderabad,TS
CL00148,P0818,2025-01-01,2024-12-20,Medical,Online,336588,302929,Approved,Medium,Yes,Yes,No,74,336588,48,2025-01-10,,City Garage,Hyderabad,TS
CL00149,P0625,2025-01-01,2024-12-20,Fire,Online,494258,444832,Approved,Low,Yes,Yes,No,56,494258,13,2025-01-10,,Apollo,Hyderabad,TS
CL00150,P0912,2025-01-01,2024-12-20,Theft,Online,276941,249246, approved ,Medium,Yes,Yes,Yes,49,,56,2025-01-10,,Apollo,Hyderabad,TS
CL00151,P0832,2025-01-01,2024-12-20,Fire,Online,217678,195910,Rejected,Low,Yes,Yes,Yes,91,,47,2025-01-10,,Apollo,Hyderabad,TS
CL00152,P0291,2025-01-01,2024-12-20,Fire,Online,24855,22369,Approved,Medium,Yes,Yes,Yes,96,24855,14,2025-01-10,,City Garage,Hyderabad,TS
CL00153,P0423,2025-01-01,2024-12-20,Medical,Online,178074,160266, approved ,Medium,Yes,Yes,No,41,,33,2025-01-10,,Apollo,Hyderabad,TS
CL00154,P0360,2025-01-01,2024-12-20,Medical,Online,261823,235640,Pending,Low,Yes,Yes,No,9,,23,2025-01-10,,Apollo,Hyderabad,TS
CL00155,P0692,2025-01-01,2024-12-20,Theft,Online,307562,276805,Pending,Low,Yes,Yes,Yes,12,,10,2025-01-10,,City Garage,Hyderabad,TS
CL00156,P0212,2025-01-01,2024-12-20,Medical,Online,126130,113517, approved ,Low,Yes,Yes,No,9,,57,2025-01-10,,Apollo,Hyderabad,TS
CL00157,P0535,2025-01-01,2024-12-20,Theft,Online,13086,11777, approved ,High,Yes,Yes,Yes,39,,19,2025-01-10,,City Garage,Hyderabad,TS
CL00158,P0856,2025-01-01,2024-12-20,Fire,Online,335184,301665,Approved,High,Yes,Yes,Yes,47,335184,46,2025-01-10,,Apollo,Hyderabad,TS
CL00159,P0809,2025-01-01,2024-12-20,Theft,Online,472576,425318,Rejected,Medium,Yes,Yes,No,57,,60,2025-01-10,,Apollo,Hyderabad,TS
CL00160,P0488,2025-01-01,2024-12-20,Medical,Online,78639,70775,Approved,Medium,Yes,Yes,Yes,67,78639,51,2025-01-10,,Apollo,Hyderabad,TS
CL00161,P0936,2025-01-01,2024-12-20,Accident,Online,370192,333172,Pending,High,Yes,Yes,No,31,,52,2025-01-10,,Apollo,Hyderabad,TS
CL00162,P0714,2025-01-01,2024-12-20,Theft,Online,103060,92754, approved ,Low,Yes,Yes,Yes,73,,45,2025-01-10,,City Garage,Hyderabad,TS
CL00163,P0603,2025-01-01,2024-12-20,Medical,Online,271358,244222,Pending,Medium,Yes,Yes,Yes,41,,50,2025-01-10,,City Garage,Hyderabad,TS
CL00164,P0890,2025-01-01,2024-12-20,Theft,Online,257689,231920,Approved,High,Yes,Yes,Yes,75,257689,28,2025-01-10,,Apollo,Hyderabad,TS
