Customer_ID,Customer_Name,Age,Gender,Marital_Status,Occupation,Annual_Income,City,State,Customer_Segment,Risk_Score,Previous_Claims,Previous_Fraud_Count,Customer_Since
C0072,Customer 72,61,Male,Married,Business,891651,Visakhapatnam,TS,Premium,83,10,0,2020-10-02
C0073,Customer 73,21,Male,Married,Business,1469516,Visakhapatnam,AP,Premium,71,6,2,2020-03-27
C0074,Customer 74,63,Female,Single,Doctor,1758777,Visakhapatnam,AP,Premium,23,1,0,2018-08-29
C0075,Customer 75,31,Female,Single,Engineer,1536143,Hyderabad,TS,Premium,13,5,0,2019-06-03
C0076,Customer 76,52,Male,Married,Teacher,1028769,Visakhapatnam,TS,Individual,95,8,1,2019-01-06
C0077,Customer 77,34,Female,Single,Doctor,271708,Vijayawada,AP,Premium,41,2,1,2022-04-07
C0078,Customer 78,69,Male,Married,Engineer,1090933,Hyderabad,AP,Premium,44,8,1,2024-07-20
C0079,Customer 79,48,Male,Single,Business,1298375,Visakhapatnam,AP,Premium,96,2,0,2022-02-25
C0080,Customer 80,42,Female,Single,Business,924312,Hyderabad,AP,Individual,39,10,2,2021-07-08
C0081,Customer 81,44,Female,Married,Doctor,771829,Vijayawada,AP,Individual,20,5,2,2021-08-26
C0082,Customer 82,68,Female,Single,Business,786389,Vijayawada,TS,Premium,95,6,0,2024-06-29
C0083,Customer 83,69,Male,Single,Engineer,1298303,Vijayawada,TS,Individual,90,9,2,2021-10-19
C0084,Customer 84,41,Female,Married,Doctor,1174277,Visakhapatnam,TS,Individual,4,2,1,2020-06-24
C0085,Customer 85,54,Male,Single,Teacher,1807099,Vijayawada,AP,Individual,70,10,1,2019-03-15
C0086,Customer 86,31,Female,Single,Engineer,1993380,Hyderabad,AP,Individual,66,6,0,2024-08-15
C0087,Customer 87,41,Female,Married,Teacher,620238,Visakhapatnam,TS,Individual,55,7,2,2022-02-12
C0088,Customer 88,52,Male,Married,Engineer,1907149,Vijayawada,TS,Individual,2,8,1,2023-10-08
C0089,Customer 89,49,Male,Married,Business,284135,Vijayawada,TS,Individual,25,4,2,2018-01-23
C0090,Customer 90,52,Male,Married,Doctor,1828582,Visakhapatnam,TS,Premium,70,8,1,2024-10-04
C0091,Customer 91,58,Female,Married,Doctor,474608,Visakhapatnam,TS,Individual,71,2,1,2018-02-09
C0092,Customer 92,45,Male,Married,Business,1043346,Vijayawada,AP,Individual,12,0,1,2021-01-06
C0093,Customer 93,47,Female,Married,Business,1811944,Vijayawada,TS,Premium,15,7,1,2019-08-16
C0094,Customer 94,44,Male,Single,Teacher,1907192,Vijayawada,TS,Individual,76,4,1,2020-11-22
C0095,Customer 95,50,Female,Married,Doctor,1109121,Vijayawada,TS,Individual,92,7,1,2022-10-08
C0096,Customer 96,23,Male,Single,Teacher,513740,Hyderabad,AP,Individual,33,2,1,2019-02-10
C0097,Customer 97,43,Male,Single,Engineer,1096922,Visakhapatnam,AP,Individual,69,6,1,2018-07-12
C0098,Customer 98,59,Male,Married,Engineer,756446,Visakhapatnam,TS,Individual,62,0,0,2018-12-24
C0099,Customer 99,42,Male,Married,Doctor,1630172,Visakhapatnam,TS,Premium,15,9,1,2019-03-10
C0100,Customer 100,27,Female,Single,Teacher,1292076,Vijayawada,TS,Premium,64,10,2,2020-05-29
C0101,Customer 101,68,Female,Married,Engineer,217955,Visakhapatnam,TS,Premium,8,8,2,2022-12-09
C0102,Customer 102,37,Male,Single,Doctor,766939,Visakhapatnam,AP,Premium,19,2,1,2020-03-10
C0103,Customer 103,44,Male,Single,Business,766571,Vijayawada,TS,Premium,35,7,0,2023-08-05
C0104,Customer 104,41,Female,Single,Doctor,569431,Visakhapatnam,AP,Premium,69,2,0,2023-08-27
C0105,Customer 105,38,Male,Single,Doctor,1505577,Vijayawada,TS,Premium,16,2,0,2020-11-16
C0106,Customer 106,32,Male,Single,Teacher,1636059,Hyderabad,AP,Individual,65,9,2,2021-06-15
C0107,Customer 107,45,Female,Single,Engineer,1923280,Vijayawada,AP,Individual,96,3,1,2021-10-29
C0108,Customer 108,35,Female,Single,Engineer,891712,Vijayawada,AP,Individual,33,2,2,2024-06-09
C0109,Customer 109,20,Female,Single,Engineer,1720286,Hyderabad,TS,Premium,32,4,2,2018-07-23
C0110,Customer 110,41,Male,Single,Teacher,1037449,Vijayawada,AP,Individual,87,5,1,2018-02-02
C0111,Customer 111,50,Female,Single,Doctor,1885193,Visakhapatnam,AP,Premium,52,1,2,2024-06-19
C0112,Customer 112,57,Female,Married,Business,831442,Hyderabad,TS,Individual,7,9,2,2019-03-27
C0113,Customer 113,29,Male,Single,Business,775655,Visakhapatnam,AP,Premium,69,4,2,2020-12-08
C0114,Customer 114,48,Male,Married,Engineer,1762201,Vijayawada,AP,Premium,70,8,2,2023-09-10
C0115,Customer 115,61,Male,Married,Business,1631122,Hyderabad,AP,Individual,75,2,2,2020-06-04
C0116,Customer 116,48,Female,Married,Doctor,535057,Hyderabad,TS,Premium,52,1,2,2019-08-18
C0117,Customer 117,35,Female,Single,Engineer,1909654,Visakhapatnam,AP,Premium,96,8,0,2023-02-26
C0118,Customer 118,19,Female,Married,Doctor,976248,Vijayawada,TS,Premium,7,1,1,2018-06-03
C0119,Customer 119,59,Male,Single,Engineer,1431848,Hyderabad,TS,Premium,73,10,1,2023-04-26
C0120,Customer 120,70,Male,Single,Engineer,1379347,Vijayawada,AP,Individual,100,0,2,2021-07-08
C0121,Customer 121,45,Female,Married,Engineer,1493842,Vijayawada,TS,Premium,46,4,1,2022-12-12
C0122,Customer 122,69,Male,Single,Engineer,916171,Visakhapatnam,AP,Individual,70,10,2,2023-06-20
C0123,Customer 123,39,Male,Single,Business,638753,Vijayawada,AP,Premium,92,3,0,2020-10-14
C0124,Customer 124,39,Female,Single,Business,1758154,Vijayawada,TS,Premium,84,10,2,2020-03-04
C0125,Customer 125,45,Female,Married,Engineer,1398372,Vijayawada,TS,Individual,20,0,1,2022-08-26
C0126,Customer 126,24,Male,Single,Teacher,1162167,Vijayawada,TS,Individual,20,8,0,2020-11-08
C0127,Customer 127,19,Female,Married,Teacher,1327705,Visakhapatnam,TS,Individual,70,3,1,2019-10-13
C0128,Customer 128,60,Male,Married,Teacher,359503,Visakhapatnam,AP,Individual,49,9,0,2023-10-03
C0129,Customer 129,31,Female,Single,Engineer,1281421,Visakhapatnam,AP,Individual,32,6,1,2019-05-03
C0130,Customer 130,54,Male,Married,Engineer,1374326,Hyderabad,TS,Individual,67,3,0,2018-03-27
C0131,Customer 131,37,Female,Married,Business,549591,Visakhapatnam,AP,Premium,99,8,2,2023-01-12
C0132,Customer 132,50,Female,Single,Business,1664955,Vijayawada,AP,Premium,36,5,0,2020-11-28
C0133,Customer 133,54,Female,Single,Engineer,1733097,Vijayawada,TS,Individual,34,4,1,2021-12-01
C0134,Customer 134,42,Female,Married,Engineer,512543,Hyderabad,TS,Individual,26,1,2,2024-01-11
C0135,Customer 135,57,Male,Married,Teacher,1411340,Hyderabad,TS,Premium,92,3,0,2018-11-13
C0136,Customer 136,27,Male,Single,Business,1002431,Vijayawada,AP,Individual,87,8,2,2018-10-31
C0137,Customer 137,33,Female,Single,Doctor,624488,Visakhapatnam,TS,Premium,96,2,0,2021-05-04
C0138,Customer 138,63,Male,Married,Business,1322738,Vijayawada,AP,Premium,27,7,0,2021-04-04
C0139,Customer 139,69,Male,Married,Business,734556,Visakhapatnam,AP,Individual,41,2,0,2019-02-28
C0140,Customer 140,25,Female,Single,Teacher,1257456,Visakhapatnam,TS,Individual,91,3,1,2023-10-21
C0141,Customer 141,26,Female,Single,Engineer,1895795,Hyderabad,TS,Premium,70,9,0,2021-01-01
C0142,Customer 142,20,Male,Single,Business,773969,Visakhapatnam,TS,Premium,35,7,0,2019-06-15
C0143,Customer 143,29,Male,Married,Engineer,1224365,Hyderabad,TS,Premium,32,1,0,2018-06-24
C0144,Customer 144,45,Female,Single,Teacher,1448471,Visakhapatnam,AP,Premium,67,5,0,2020-08-11
C0145,Customer 145,41,Male,Married,Engineer,1161459,Hyderabad,AP,Individual,37,7,0,2024-07-17
C0146,Customer 146,50,Male,Married,Engineer,1038743,Visakhapatnam,TS,Premium,35,5,1,2018-07-21
C0147,Customer 147,53,Female,Single,Business,838804,Visakhapatnam,TS,Individual,77,9,2,2021-02-11
C0148,Customer 148,22,Female,Married,Business,1290172,Hyderabad,AP,Individual,74,8,0,2019-02-18
C0149,Customer 149,39,Female,Married,Engineer,1536858,Vijayawada,AP,Premium,82,1,2,2023-01-02
C0150,Customer 150,39,Male,Single,Doctor,956759,Hyderabad,AP,Individual,76,1,1,2021-07-23
C0151,Customer 151,50,Female,Married,Doctor,1986500,Vijayawada,TS,Individual,92,1,2,2020-10-07
C0152,Customer 152,70,Female,Married,Doctor,1403285,Visakhapatnam,AP,Individual,91,2,1,2022-08-22
C0153,Customer 153,23,Male,Married,Doctor,692519,Hyderabad,AP,Premium,93,7,0,2023-09-29
C0154,Customer 154,37,Male,Single,Doctor,912329,Vijayawada,AP,Individual,57,5,2,2018-06-02
C0155,Customer 155,19,Female,Married,Teacher,1368115,Hyderabad,TS,Individual,26,3,0,2024-08-03
C0156,Customer 156,26,Male,Married,Business,611674,Hyderabad,TS,Premium,43,9,2,2021-12-23
C0157,Customer 157,32,Male,Single,Business,267663,Hyderabad,TS,Individual,2,3,0,2023-11-18
C0158,Customer 158,70,Male,Single,Teacher,639221,Vijayawada,TS,Individual,63,8,1,2021-08-23
C0159,Customer 159,43,Male,Single,Teacher,593271,Visakhapatnam,TS,Premium,79,7,1,2018-04-05
C0160,Customer 160,49,Male,Single,Business,1935005,Visakhapatnam,TS,Premium,10,10,1,2020-03-10
C0161,Customer 161,62,Female,Married,Business,1466098,Vijayawada,AP,Premium,87,8,1,2024-04-26
C0162,Customer 162,66,Female,Married,Doctor,850627,Hyderabad,AP,Premium,59,5,0,2023-09-12
C0163,Customer 163,46,Male,Married,Doctor,1660190,Visakhapatnam,AP,Premium,56,0,2,2019-04-01
C0164,Customer 164,40,Male,Married,Engineer,842651,Vijayawada,AP,Premium,44,4,2,2018-07-23
C0165,Customer 165,31,Male,Married,Engineer,1608199,Visakhapatnam,AP,Individual,100,4,1,2024-10-24
C0166,Customer 166,39,Male,Single,Teacher,1784457,Visakhapatnam,TS,Premium,38,6,1,2023-11-27
C0167,Customer 167,47,Male,Single,Business,685715,Visakhapatnam,AP,Individual,81,3,0,2022-06-05
C0168,Customer 168,42,Male,Single,Doctor,1759891,Visakhapatnam,TS,Individual,92,10,1,2022-12-25
C0169,Customer 169,49,Male,Single,Engineer,977538,Vijayawada,TS,Premium,41,9,0,2024-07-18
C0170,Customer 170,59,Female,Married,Business,223683,Vijayawada,AP,Premium,15,8,0,2024-10-16
C0171,Customer 171,65,Female,Married,Doctor,1845047,Hyderabad,AP,Individual,77,8,2,2023-09-26
C0172,Customer 172,28,Male,Married,Engineer,343247,Hyderabad,AP,Individual,55,0,0,2018-08-14
C0173,Customer 173,18,Male,Married,Doctor,1846577,Hyderabad,AP,Individual,61,3,1,2021-04-24
C0174,Customer 174,55,Female,Single,Teacher,641972,Vijayawada,AP,Individual,72,7,0,2021-09-19
C0175,Customer 175,38,Female,Single,Engineer,1379745,Hyderabad,AP,Individual,28,3,0,2021-05-30
C0176,Customer 176,69,Male,Single,Doctor,1723530,Hyderabad,AP,Premium,20,3,0,2021-03-18
C0177,Customer 177,40,Male,Single,Business,619911,Hyderabad,AP,Individual,8,3,0,2019-04-20
C0178,Customer 178,23,Male,Married,Doctor,1305635,Vijayawada,AP,Individual,93,4,0,2021-08-27
C0179,Customer 179,40,Female,Married,Business,1623775,Vijayawada,AP,Premium,32,7,1,2020-01-02
C0180,Customer 180,56,Male,Single,Engineer,1820923,Vijayawada,TS,Premium,43,5,1,2023-02-13
C0181,Customer 181,41,Female,Married,Business,1188419,Visakhapatnam,AP,Premium,17,4,0,2021-05-22
C0182,Customer 182,54,Male,Single,Teacher,1159832,Visakhapatnam,AP,Individual,21,1,2,2020-11-05
C0183,Customer 183,33,Female,Married,Teacher,781503,Vijayawada,TS,Individual,55,2,2,2021-12-17
C0184,Customer 184,46,Male,Single,Doctor,345097,Visakhapatnam,AP,Premium,69,0,0,2020-02-25
C0185,Customer 185,59,Female,Married,Doctor,1999346,Visakhapatnam,TS,Premium,84,1,0,2022-03-18
C0186,Customer 186,20,Female,Single,Engineer,717932,Vijayawada,TS,Premium,32,5,0,2020-08-07
C0187,Customer 187,36,Male,Single,Engineer,484067,Hyderabad,TS,Premium,19,2,0,2018-11-05
C0188,Customer 188,37,Female,Married,Business,583528,Visakhapatnam,TS,Individual,56,1,1,2020-04-20
C0189,Customer 189,32,Male,Single,Teacher,244458,Hyderabad,TS,Premium,24,0,1,2018-12-04
C0190,Customer 190,57,Male,Single,Engineer,1125369,Visakhapatnam,AP,Premium,22,9,2,2018-03-15
C0191,Customer 191,31,Female,Married,Engineer,309833,Vijayawada,TS,Premium,18,7,0,2023-09-25
C0192,Customer 192,38,Female,Married,Engineer,1208562,Vijayawada,TS,Individual,34,1,2,2021-08-15
C0193,Customer 193,19,Male,Married,Teacher,856552,Vijayawada,TS,Premium,63,6,0,2021-04-21
C0194,Customer 194,28,Female,Single,Engineer,1104795,Vijayawada,AP,Premium,46,10,2,2024-05-05
C0195,Customer 195,49,Female,Married,Teacher,876675,Hyderabad,TS,Individual,51,5,2,2024-05-11
C0196,Customer 196,62,Male,Married,Business,514676,Vijayawada,AP,Individual,94,10,0,2018-11-20
C0197,Customer 197,65,Male,Single,Business,1395331,Vijayawada,TS,Individual,73,7,1,2018-02-24
C0198,Customer 198,42,Female,Single,Doctor,308176,Visakhapatnam,TS,Premium,57,3,2,2024-02-18
C0199,Customer 199,37,Male,Married,Doctor,609430,Hyderabad,AP,Premium,6,5,2,2021-10-13
C0200,Customer 200,69,Male,Married,Business,217568,Visakhapatnam,AP,Individual,57,10,0,2023-09-19
C0201,Customer 201,31,Female,Married,Engineer,860212,Vijayawada,AP,Individual,43,2,0,2023-12-12
C0202,Customer 202,37,Male,Married,Business,1160463,Visakhapatnam,TS,Individual,67,9,2,2021-06-18
C0203,Customer 203,55,Male,Married,Teacher,1630720,Hyderabad,TS,Individual,55,6,2,2023-10-02
C0204,Customer 204,65,Male,Married,Business,1909039,Visakhapatnam,TS,Premium,27,0,0,2019-03-16
C0205,Customer 205,24,Female,Single,Business,1032912,Hyderabad,TS,Premium,67,9,0,2024-08-01
C0206,Customer 206,30,Female,Married,Business,809705,Vijayawada,AP,Premium,24,0,2,2018-09-06
C0207,Customer 207,69,Male,Single,Business,1982120,Vijayawada,TS,Premium,96,1,1,2018-08-09
C0208,Customer 208,65,Female,Married,Business,1175834,Vijayawada,AP,Individual,52,8,1,2023-05-11
C0209,Customer 209,50,Male,Married,Teacher,933897,Hyderabad,AP,Individual,28,7,2,2019-09-30
C0210,Customer 210,24,Male,Married,Engineer,1151276,Hyderabad,TS,Premium,36,6,0,2022-05-07
C0211,Customer 211,49,Female,Married,Doctor,1549642,Visakhapatnam,TS,Premium,97,4,0,2019-02-15
C0212,Customer 212,49,Male,Married,Teacher,1162045,Hyderabad,AP,Premium,41,7,2,2024-04-08
C0213,Customer 213,58,Female,Married,Business,877971,Vijayawada,TS,Individual,22,3,2,2020-03-30
C0214,Customer 214,56,Male,Single,Doctor,1499505,Hyderabad,TS,Premium,4,5,1,2022-01-20
C0215,Customer 215,56,Female,Single,Doctor,671025,Vijayawada,TS,Premium,86,2,0,2022-05-12
C0216,Customer 216,59,Female,Single,Teacher,338163,Visakhapatnam,TS,Premium,27,4,0,2022-11-13
C0217,Customer 217,18,Female,Single,Business,521370,Hyderabad,AP,Premium,19,6,1,2021-08-26
C0218,Customer 218,52,Female,Single,Teacher,532155,Hyderabad,AP,Individual,16,7,2,2023-11-09
C0219,Customer 219,26,Female,Single,Doctor,1472341,Visakhapatnam,TS,Individual,3,5,0,2020-07-15
C0220,Customer 220,33,Female,Married,Engineer,1566048,Hyderabad,AP,Premium,73,2,0,2022-01-16
C0221,Customer 221,63,Male,Married,Doctor,336003,Vijayawada,TS,Individual,68,7,0,2020-09-13
C0222,Customer 222,31,Male,Married,Engineer,759879,Visakhapatnam,AP,Individual,14,1,1,2021-09-21
C0223,Customer 223,24,Female,Married,Doctor,499299,Vijayawada,TS,Premium,97,6,1,2022-11-22
C0224,Customer 224,41,Male,Single,Engineer,503720,Hyderabad,AP,Individual,31,10,1,2023-02-14
C0225,Customer 225,68,Female,Single,Engineer,561373,Visakhapatnam,AP,Individual,56,4,1,2019-06-28
C0226,Customer 226,33,Female,Married,Doctor,1426763,Visakhapatnam,AP,Premium,17,8,1,2024-07-23
C0227,Customer 227,21,Female,Single,Teacher,1533104,Visakhapatnam,AP,Premium,20,0,1,2019-06-17
C0228,Customer 228,27,Female,Single,Business,1537730,Hyderabad,TS,Individual,97,9,1,2019-01-12
C0229,Customer 229,48,Male,Single,Business,1548818,Visakhapatnam,TS,Individual,67,6,1,2021-07-23
C0230,Customer 230,46,Male,Single,Teacher,1441162,Visakhapatnam,TS,Individual,13,5,0,2020-03-13
C0231,Customer 231,25,Male,Single,Business,691722,Hyderabad,TS,Premium,79,0,2,2022-10-24
C0232,Customer 232,53,Female,Married,Engineer,1605445,Visakhapatnam,AP,Premium,80,7,1,2020-06-15
C0233,Customer 233,35,Female,Married,Business,1319911,Hyderabad,TS,Individual,96,7,1,2021-04-26
C0234,Customer 234,55,Male,Married,Business,1793327,Visakhapatnam,TS,Premium,62,10,0,2021-06-08
C0235,Customer 235,19,Male,Single,Business,1922497,Hyderabad,TS,Premium,40,8,1,2019-07-22
C0236,Customer 236,24,Male,Married,Engineer,1134813,Vijayawada,TS,Premium,17,0,2,2020-04-05
C0237,Customer 237,67,Female,Single,Business,794140,Hyderabad,TS,Individual,73,6,0,2019-02-05
C0238,Customer 238,61,Female,Married,Engineer,1481364,Vijayawada,TS,Individual,25,2,0,2019-04-22
C0239,Customer 239,69,Male,Single,Doctor,1779137,Hyderabad,AP,Individual,30,3,0,2023-08-26
C0240,Customer 240,40,Female,Married,Teacher,799602,Visakhapatnam,AP,Individual,77,4,0,2018-03-31
C0241,Customer 241,45,Female,Married,Business,1115442,Hyderabad,AP,Individual,99,10,0,2022-10-25
C0242,Customer 242,44,Female,Married,Teacher,575177,Hyderabad,AP,Individual,47,1,1,2021-08-11
C0243,Customer 243,70,Male,Single,Doctor,525037,Visakhapatnam,TS,Individual,62,10,2,2018-01-08
C0244,Customer 244,48,Female,Married,Doctor,637353,Hyderabad,TS,Individual,99,6,1,2024-01-02
C0245,Customer 245,19,Male,Single,Business,1553572,Hyderabad,TS,Premium,26,8,1,2019-02-07
C0246,Customer 246,33,Male,Married,Engineer,572834,Vijayawada,TS,Premium,52,8,1,2018-04-08
C0247,Customer 247,58,Female,Single,Business,466765,Hyderabad,TS,Premium,79,6,2,2019-01-26
C0248,Customer 248,30,Female,Married,Business,754444,Visakhapatnam,AP,Premium,20,8,2,2024-01-13
C0249,Customer 249,68,Female,Single,Engineer,1815391,Vijayawada,TS,Premium,97,1,1,2019-07-24
C0250,Customer 250,69,Male,Married,Business,258490,Vijayawada,AP,Premium,63,3,2,2018-04-26
C0251,Customer 251,42,Male,Married,Engineer,723988,Visakhapatnam,AP,Premium,11,4,2,2018-06-12
C0252,Customer 252,40,Male,Single,Engineer,1935962,Hyderabad,TS,Premium,40,1,2,2023-04-12
C0253,Customer 253,57,Female,Married,Teacher,1516275,Vijayawada,AP,Premium,78,3,0,2020-06-10
C0254,Customer 254,37,Female,Married,Doctor,1432726,Hyderabad,TS,Premium,85,3,0,2020-09-16
C0255,Customer 255,28,Male,Married,Business,624832,Hyderabad,AP,Individual,41,6,2,2020-05-14
C0256,Customer 256,28,Male,Married,Teacher,1040372,Hyderabad,TS,Individual,93,10,1,2023-09-27
C0257,Customer 257,68,Female,Married,Engineer,343778,Hyderabad,AP,Individual,68,7,2,2024-03-27
